address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
La Soukra Ariana Tunisie,,,,,La Soukra,127,,3200,2,,remax,3000,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/127
Djerba - Midoun Djerba - Midoun Médenine Tunisie,,,,,Djerba - Midoun,12,,320000,2,,remax,,Djerba - Midoun Médenine Tunisie,https://www.remax.com.tn/listings/12
La Soukra- La Soukra La Soukra Ariana Tunisie,,,,,La Soukra,3,,502000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/3
La Soukra- La Soukra La Soukra Ariana Tunisie,,,,,La Soukra,1,,862000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/1
Cité Sprols El Haouaria Nabeul Tunisie,,,,,El Haouaria,189,,250000,2,,remax,,El Haouaria Nabeul Tunisie,https://www.remax.com.tn/listings/189
Cité Riadh Cité Riadh 8090 Kélibia Nabeul Tunisie,,,,,Kélibia,218,,1250000,2,,remax,,Kélibia Nabeul Tunisie,https://www.remax.com.tn/listings/218
El Menzah 1 Tunis Tunisie,,,,,El Menzah 1,36,,1000000,2,,remax,,El Menzah 1 Tunis Tunisie,https://www.remax.com.tn/listings/36
L'Aouina Tunis Tunisie,,,,,L'Aouina,103,,1050,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/103
Nabeul Nabeul Tunisie,,,,,Nabeul,21,,1361350,2,,remax,,Nabeul Nabeul Tunisie,https://www.remax.com.tn/listings/21
La Manouba Manouba Tunisie,,,,,La Manouba,24,,430000,2,,remax,,La Manouba Manouba Tunisie,https://www.remax.com.tn/listings/24
Charguia 2 Ariana Tunisie,,,,,Charguia 2,27,,2500000,1,,remax,,Charguia 2 Ariana Tunisie,https://www.remax.com.tn/listings/27
El Omrane El Omrane Tunis Tunisie,,,,,El Omrane,28,,1050000,2,,remax,,El Omrane Tunis Tunisie,https://www.remax.com.tn/listings/28
Cherifate Soliman Nabeul Tunisie,,,,,Soliman,29,,2000000,1,,remax,,Soliman Nabeul Tunisie,https://www.remax.com.tn/listings/29
La Manouba Manouba Tunisie,,,,,La Manouba,32,,340000,2,,remax,,La Manouba Manouba Tunisie,https://www.remax.com.tn/listings/32
Hammamet Sud Nabeul Tunisie,,,,,Hammamet Sud,91,,1300000,2,,remax,,Hammamet Sud Nabeul Tunisie,https://www.remax.com.tn/listings/91
Hammamet Sud Nabeul Tunisie,,,,,Hammamet Sud,92,,0,2,,remax,,Hammamet Sud Nabeul Tunisie,https://www.remax.com.tn/listings/92
El Manar 3 Tunis Tunisie,,,,,El Manar 3,143,,4400,2,,remax,4000,El Manar 3 Tunis Tunisie,https://www.remax.com.tn/listings/143
Gammarth Tunis Tunisie,,,,,Gammarth,20,,3000,2,,remax,,Gammarth Tunis Tunisie,https://www.remax.com.tn/listings/20
